Chr	Pos	Filename	
chr16 39477291 COV075_BACK01_1
chr1 77445253 COV075_BACK01_1
chr3 12637777 COV075_BACK01_1
chr7 102908581 COV075_BACK01_1
chr6 153502165 COV075_BACK01_1
chr12 21784438 COV075_BACK01_2
chr14 73269709 COV075_BACK01_2
chr1 86419646 COV075_BACK01_2
chr5 134525212 COV075_BACK01_2
chr13 81818929 COV075_BACK01_2
chr8 72285440 COV075_BACK01_2
chr16 33344445 COV075_BACK01_3
chr18 58897123 COV075_BACK01_3
chr1 169347366 COV075_BACK01_3
chr3 25393830 COV075_BACK01_3
chr22 25217143 COV075_BACK01_3
chr2 3831578 COV075_BACK01_3
chr10 11104172 COV075_BACK01_4
chr12 85573937 COV075_BACK01_4
chr16 22897727 COV075_BACK01_4
chr1 16622237 COV075_BACK01_4
chr7 113276282 COV075_BACK01_4
chr19 27222198 COV075_BACK01_4
chr14 62696095 COV075_BACK01_5
chr1 180889094 COV075_BACK01_5
chr5 109537571 COV075_BACK01_5
chr11 54024710 COV075_BACK01_5
chr17 7205811 COV075_BACK01_5
chrX 148909331 COV075_BACK01_5
chr10 124695687 COV075_BACK01_6
chr14 50878796 COV075_BACK01_6
chr1 15083691 COV075_BACK01_6
chr13 68476614 COV075_BACK01_6
chr15 92118951 COV075_BACK01_6
chr22 25765807 COV075_BACK01_6
chr2 111730326 COV075_BACK01_6
chr10 85271666 COV075_BACK01_7
chr1 152475997 COV075_BACK01_7
chr13 50302354 COV075_BACK01_7
chr19 21683783 COV075_BACK01_7
chr22 38571110 COV075_BACK01_7
chr2 168701578 COV075_BACK01_7	
chr12 6876645 COV075_BACK01_8
chr1 229875849 COV075_BACK01_8
chr21 42225536 COV075_BACK01_8
chr9 128755867 COV075_BACK01_8
chr20 45234194 COV075_BACK01_8
chr2 87115232 COV075_BACK01_8
chr10 31561187 COV075_BACK01_9
chr1 183395653 COV075_BACK01_9
chr21 35369332 COV075_BACK01_9
chr5 64099431 COV075_BACK01_9
chr20 166373 COV075_BACK01_9
chr2 141352978 COV075_BACK01_9
chr4 160342998 COV075_BACK01_9
chr14 75545004 COV075_BACK01_10
chr18 19144952 COV075_BACK01_10
chr1 92319006 COV075_BACK01_10
chr11 107278223 COV075_BACK01_10
chr20 60623986 COV075_BACK01_10
chr2 167457330 COV075_BACK01_10
chr8 24040444 COV075_BACK01_10
